ESTIMATED_VALUE_OF_PROJECT,ALTERNATE_BUILDING_TYPE
30000,"MULTI COMMERCIAL"
70000,"OTHER RETAIL"
70000,"OTHER RETAIL"
275000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
17341,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
2000,BAR/RESTAURANT
350000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
214500,"PERSONAL SERVICE"
11025000,"PARKING STRUCTURE"
20000,BAR/RESTAURANT
18000,"MULTI-UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
585000,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
25000,SUPERMARKET
50900,"PLACE OF WORSHIP"
0,"SPRAY PAINT OPERATION"
65000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
70000,"TWO UNIT DWELLING"
250000,"STRIP MALL"
220000,"SINGLE UNIT DWELLING"
35000,TOWNHOUSE
200000,"SINGLE UNIT DWELLING"
225000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
5227655,"MULTI-UNIT DWELLING"
1500,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
837000,"MULTI COMMERCIAL"
175000,"SINGLE UNIT DWELLING"
140000,"MOBILE HOME"
17000,"SINGLE UNIT DWELLING"
210000,"SINGLE UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
35000,"ACCESSORY BUILDING"
319000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
200000,"TWO UNIT DWELLING"
365821,BAR/RESTAURANT
6500,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
223000,"SINGLE UNIT DWELLING"
35000,"TWO UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
175000,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
4000,"ACCESSORY BUILDING"
272000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
262000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
20000,CAMP
200000,"SINGLE UNIT DWELLING"
17800,"ACCESSORY BUILDING"
100,GREENHOUSE
220000,"SINGLE UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
4000,"ACCESSORY BUILDING"
150000,"SINGLE UNIT DWELLING"
88000,"SINGLE UNIT DWELLING"
1112,"SINGLE UNIT DWELLING"
7500,OFFICE
34000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
175000,"SINGLE UNIT DWELLING"
16000,"ACCESSORY BUILDING"
3000,"SINGLE UNIT DWELLING"
1000,"ACCESSORY BUILDING"
250000,"SINGLE UNIT DWELLING"
440000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
1065000,"SHOPPING CENTRE"
1100000,"OTHER RETAIL"
1100,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
280000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
16000,"ACCESSORY BUILDING"
135000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
245000,"SINGLE UNIT DWELLING"
50000,"PERSONAL SERVICE"
4500,BAR/RESTAURANT
200000,"SINGLE UNIT DWELLING"
12000,"ACCESSORY BUILDING"
40000,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
321000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
90000,"MOBILE HOME"
4100,"SINGLE UNIT DWELLING"
210000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
85000,OFFICE
100000,"TWO UNIT DWELLING"
150000,"AIRPORT SUPPORT FACILI"
350000,"SINGLE UNIT DWELLING"
210000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
225000,"MULTI COMMERCIAL"
4000,"ACCESSORY BUILDING"
400000,BAR/RESTAURANT
125000,"SINGLE UNIT DWELLING"
800000,"SINGLE UNIT DWELLING"
40000,"ACCESSORY BUILDING"
1000,"MULTI-UNIT DWELLING"
5800,"ACCESSORY BUILDING"
7441,"SINGLE UNIT DWELLING"
170000,"SINGLE UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
150000,"TWO UNIT DWELLING"
28000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
240000,"TWO UNIT DWELLING"
10836,"SINGLE UNIT DWELLING"
2800000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
50000,"ACCESSORY BUILDING"
20000,"ACCESSORY BUILDING"
12960000,"MULTI-UNIT DWELLING"
20000,"ACCESSORY BUILDING"
10000,"ACCESSORY BUILDING"
12000,"ACCESSORY BUILDING"
5000,"ACCESSORY BUILDING"
400000,"SINGLE UNIT DWELLING"
120000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
160000,"SINGLE UNIT DWELLING"
14000,"ACCESSORY BUILDING"
15000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
0,"OTHER RETAIL"
1000,"SINGLE UNIT DWELLING"
95000,"OTHER RETAIL"
250000,"SINGLE UNIT DWELLING"
120000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
255000,"SINGLE UNIT DWELLING"
100000,"OTHER SERVICE"
200000,"TWO UNIT DWELLING"
200000,"TWO UNIT DWELLING"
50000,"MULTI-UNIT DWELLING"
60000,"ACCESSORY BUILDING"
375000,"OTHER RETAIL"
200000,"SINGLE UNIT DWELLING"
190000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
30756,"ACCESSORY BUILDING"
240000,"SINGLE UNIT DWELLING"
210000,"SINGLE UNIT DWELLING"
538138,BANK
73000,"MULTI-UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
115000,"MOBILE HOME"
86000,"MULTI-UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
25000,"MOBILE HOME"
0,"SINGLE UNIT DWELLING"
12600000,"PARKING STRUCTURE"
280000,"SINGLE UNIT DWELLING"
320000,"SINGLE UNIT DWELLING"
2500,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
117000,"SINGLE UNIT DWELLING"
20000,"MULTI-UNIT DWELLING"
30000,OFFICE
1500000,"SINGLE UNIT DWELLING"
492043,"OTHER RETAIL"
330000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
170000,"SINGLE UNIT DWELLING"
10423,"MULTI-UNIT DWELLING"
480000,"MULTI-UNIT DWELLING"
70000,"PLACE OF WORSHIP"
87000,"MULTI-UNIT DWELLING"
0,"REPAIR GARAGE"
550000,WAREHOUSE
200000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
3200000,WAREHOUSE
8000,"ACCESSORY BUILDING"
175000,"SINGLE UNIT DWELLING"
31000,"TWO UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
1125000,TOWNHOUSE
150000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
16000,"SINGLE UNIT DWELLING"
23000,"MULTI-UNIT DWELLING"
270000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
190000,"SINGLE UNIT DWELLING"
150000,"MULTI COMMERCIAL"
100,"ACCESSORY BUILDING"
100000,"SINGLE UNIT DWELLING"
79000,"MOBILE HOME"
2000,"TWO UNIT DWELLING"
165000,"SINGLE UNIT DWELLING"
18000,"ACCESSORY BUILDING"
125000,"SINGLE UNIT DWELLING"
75000,"MULTI COMMERCIAL"
300000,"SINGLE UNIT DWELLING"
165000,"SINGLE UNIT DWELLING"
180000,"MEDICAL CLINIC"
25000,"ACCESSORY BUILDING"
4000,"MULTI-UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
500000,"OTHER RETAIL"
140000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
75000,"MOBILE HOME"
230000,"SINGLE UNIT DWELLING"
50000,"SHOPPING CENTRE"
150000,"SINGLE UNIT DWELLING"
1500,"MULTI COMMERCIAL"
150000,"SINGLE UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
0,"MULTI-UNIT DWELLING"
1459000,"AUTO DEALERSHIP"
75000,"MOBILE HOME"
92000,"MOBILE HOME"
240000,"SINGLE UNIT DWELLING"
1000,OFFICE
0,"SINGLE UNIT DWELLING"
450000,"SINGLE UNIT DWELLING"
25050,"UTILITY FACILITY"
20000,"ACCESSORY BUILDING"
230000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
370000,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
210000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
130000,"SINGLE UNIT DWELLING"
150000,OFFICE
170000,"TWO UNIT DWELLING"
0,OFFICE
40000,"SINGLE UNIT DWELLING"
10,"SINGLE UNIT DWELLING"
2193,UNKNOWN
96000,"MOBILE HOME"
0,BAR/RESTAURANT
58000,"SINGLE UNIT DWELLING"
92000,"MOBILE HOME"
1474000,"AIRPORT TERMINAL"
215000,"SINGLE UNIT DWELLING"
130000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
15000,"ACCESSORY BUILDING"
72000,OFFICE
40000,"MULTI-UNIT DWELLING"
6000,WAREHOUSE
60000,"PERSONAL SERVICE"
360000,"MULTI-UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
4500,"MULTI-UNIT DWELLING"
20000,"OTHER RETAIL"
420000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
23200,"SINGLE UNIT DWELLING"
165000,"SINGLE UNIT DWELLING"
28525,"MULTI-UNIT DWELLING"
55000,"ACCESSORY BUILDING"
26000,"SINGLE UNIT DWELLING"
225000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
2500,"SINGLE UNIT DWELLING"
12500,"SINGLE UNIT DWELLING"
500000,"SINGLE UNIT DWELLING"
173610,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
48000,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
320000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
340000,"TWO UNIT DWELLING"
28000,"ACCESSORY BUILDING"
135000,"SINGLE UNIT DWELLING"
170000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
105800,"MOBILE HOME"
170000,"SINGLE UNIT DWELLING"
330000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
14900,"SINGLE UNIT DWELLING"
24000,"SINGLE UNIT DWELLING"
735000,"MULTI-UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
105000,"SINGLE UNIT DWELLING"
30000,"TWO UNIT DWELLING"
31274,"SINGLE UNIT DWELLING"
30000,"MULTI-UNIT DWELLING"
25000,OFFICE
2250,"ACCESSORY BUILDING"
7000,OFFICE
240000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
250,"TWO UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
12700,"ACCESSORY BUILDING"
20000,"ACCESSORY BUILDING"
160000,"TWO UNIT DWELLING"
15000,"ACCESSORY BUILDING"
700000,"MULTI-UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
50000,"MULTI-UNIT DWELLING"
183000,"SINGLE UNIT DWELLING"
69000,"MOBILE HOME"
324000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
75000,"FERRY TERMINAL"
350000,"MULTI COMMERCIAL"
175000,"SINGLE UNIT DWELLING"
250000,"MULTI COMMERCIAL"
125000,"SINGLE UNIT DWELLING"
40000,"MULTI COMMERCIAL"
2000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
12000,"ACCESSORY BUILDING"
19000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
0,"OTHER RETAIL"
14000,"ACCESSORY BUILDING"
850000,TOWNHOUSE
135000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
3500,"MIXED RES/COMM"
250000,"SINGLE UNIT DWELLING"
69000,"MOBILE HOME"
1400000,"MULTI-UNIT DWELLING"
3000000,OFFICE
235000,"SINGLE UNIT DWELLING"
12000,"ACCESSORY BUILDING"
325000,"MULTI COMMERCIAL"
1000,BAR/RESTAURANT
17000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
3000,"SINGLE UNIT DWELLING"
325000,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
100,"ACCESSORY BUILDING"
56865,"MULTI-UNIT DWELLING"
12296,"SINGLE UNIT DWELLING"
22648825,"MIXED RES/COMM"
24250,WAREHOUSE
24250,WAREHOUSE
32000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
417000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
21000,WAREHOUSE
92000,"MOBILE HOME"
18892475,"POST SECONDARY"
325000,"SINGLE UNIT DWELLING"
38000,DAYCARE
230000,"SINGLE UNIT DWELLING"
11500,"ACCESSORY BUILDING"
150000,"SINGLE UNIT DWELLING"
170000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
14000,"SINGLE UNIT DWELLING"
6800,"ACCESSORY BUILDING"
9500,"SINGLE UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
24347,"ACCESSORY BUILDING"
9000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
125000,"SINGLE UNIT DWELLING"
125000,"GAS STATION"
7500,BAR/RESTAURANT
0,BAR/RESTAURANT
60000,"SHOPPING CENTRE"
4500,"MULTI-UNIT DWELLING"
150000,"TWO UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
6400000,"MULTI-UNIT DWELLING"
42000,OFFICE
10000,"ACCESSORY BUILDING"
60000,"MOBILE HOME"
3000,"ACCESSORY BUILDING"
4000,"ACCESSORY BUILDING"
50000,"TWO UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
600000,"SINGLE UNIT DWELLING"
1756664,"MULTI-UNIT DWELLING"
3800,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
19000,"MULTI-UNIT DWELLING"
350000,"MULTI-UNIT DWELLING"
0,OFFICE
25000,"ACCESSORY BUILDING"
18153,"ACCESSORY BUILDING"
400000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
0,"REPAIR GARAGE"
20000,"SINGLE UNIT DWELLING"
350000,"TWO UNIT DWELLING"
120000,"SINGLE UNIT DWELLING"
13250,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
0,OFFICE
300000,"SINGLE UNIT DWELLING"
850000,"SHOPPING CENTRE"
0,"OTHER SERVICE"
854304,"MULTI-UNIT DWELLING"
200000,"MULTI-UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
6000,"TWO UNIT DWELLING"
19900,"SINGLE UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
68000,"OTHER RETAIL"
280000,"SINGLE UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
580900,OFFICE
6214215,FACTORY/PLANT
25000,"REPAIR GARAGE"
150000,"SINGLE UNIT DWELLING"
41000,"SINGLE UNIT DWELLING"
5000,"MOBILE HOME"
0,OFFICE
40000,"SINGLE UNIT DWELLING"
0,BAR/RESTAURANT
12000,"SHOPPING CENTRE"
30000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
0,OFFICE
10000,"OTHER RETAIL"
80000,"ACCESSORY BUILDING"
8000,"MULTI-UNIT DWELLING"
186000,DORMITORY
9605,"SINGLE UNIT DWELLING"
7200,"ACCESSORY BUILDING"
0,"MIXED RES/COMM"
170000,"TWO UNIT DWELLING"
5500,"SINGLE UNIT DWELLING"
50000,"OTHER SERVICE"
299832,OFFICE
335000,"SINGLE UNIT DWELLING"
140000,"SINGLE UNIT DWELLING"
5998,"SINGLE UNIT DWELLING"
5000,"MULTI-UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
120000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
10400,"ACCESSORY BUILDING"
308000,"SINGLE UNIT DWELLING"
75000,OFFICE
8000,"ACCESSORY BUILDING"
30000,"SINGLE UNIT DWELLING"
30000,OFFICE
4500000,"MULTI-UNIT DWELLING"
18000,"SINGLE UNIT DWELLING"
6000,"SINGLE UNIT DWELLING"
4300,"ACCESSORY BUILDING"
40000,"SHOPPING CENTRE"
5000000,"MULTI-UNIT DWELLING"
16100,"MULTI-UNIT DWELLING"
75000,"SINGLE UNIT DWELLING"
400000,"MULTI COMMERCIAL"
250000,"TWO UNIT DWELLING"
250000,"TWO UNIT DWELLING"
25000,"PUMPING STATION"
10000,"SINGLE UNIT DWELLING"
750000,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
500,"SINGLE UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
68000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
3000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
9953,"SINGLE UNIT DWELLING"
100,"ACCESSORY BUILDING"
116100,"RECREATION FACILITY"
30000,"SINGLE UNIT DWELLING"
95000,"TWO UNIT DWELLING"
500,"SINGLE UNIT DWELLING"
225000,OFFICE
361554,OFFICE
65000,"SHOPPING CENTRE"
78000,"SHOPPING CENTRE"
350000,"SINGLE UNIT DWELLING"
16927,"ACCESSORY BUILDING"
280000,"SINGLE UNIT DWELLING"
55000,"SINGLE UNIT DWELLING"
250000,"TWO UNIT DWELLING"
0,"MULTI-UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
100000,WAREHOUSE
100,"TWO UNIT DWELLING"
85000,OFFICE
300000,"SINGLE UNIT DWELLING"
45000,BAR/RESTAURANT
5000,"MIXED RES/COMM"
0,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
0,"MOBILE HOME"
290000,"SINGLE UNIT DWELLING"
32000,"TWO UNIT DWELLING"
25000,"ACCESSORY BUILDING"
5000,"MULTI COMMERCIAL"
36500,"TWO UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
12000,"ACCESSORY BUILDING"
15000,"ACCESSORY BUILDING"
275000,"SINGLE UNIT DWELLING"
70000,"SINGLE UNIT DWELLING"
222000,"TWO UNIT DWELLING"
165000,"SINGLE UNIT DWELLING"
310000,"SINGLE UNIT DWELLING"
31000,"SINGLE UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
165000,"SINGLE UNIT DWELLING"
6000,"ACCESSORY BUILDING"
100,BAR/RESTAURANT
25000,"MULTI-UNIT DWELLING"
1000,BAR/RESTAURANT
800000,"SINGLE UNIT DWELLING"
50000,"TWO UNIT DWELLING"
30244,"ACCESSORY BUILDING"
15000,"SINGLE UNIT DWELLING"
15000,"TWO UNIT DWELLING"
140000,"MEDICAL CLINIC"
120000,"SINGLE UNIT DWELLING"
300000,"TWO UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
0,"MOBILE HOME"
1050000,"MULTI-UNIT DWELLING"
750000,"STRIP MALL"
230000,"SINGLE UNIT DWELLING"
22000,"MULTI-UNIT DWELLING"
30000,OFFICE
3000,"SINGLE UNIT DWELLING"
37000,"MULTI-UNIT DWELLING"
7500,"SINGLE UNIT DWELLING"
50000,"SHOPPING CENTRE"
752000,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
18000,"MEDICAL OFFICE"
300000,"TWO UNIT DWELLING"
50000,"GAS STATION"
20000,"TWO UNIT DWELLING"
32000,"SINGLE UNIT DWELLING"
0,"ACCESSORY BUILDING"
33093,"TWO UNIT DWELLING"
33093,"TWO UNIT DWELLING"
30000,"MULTI-UNIT DWELLING"
0,"COMMUNITY CENTRE"
0,OFFICE
579750,OFFICE
200000,"SINGLE UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
19800,"ACCESSORY BUILDING"
0,"MULTI-UNIT DWELLING"
225000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
75000,"OTHER SERVICE"
170000,"SINGLE UNIT DWELLING"
120000,BAR/RESTAURANT
150000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
138000,HOTEL/MOTEL
23000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
1500,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
275000,"SINGLE UNIT DWELLING"
130000,"SINGLE UNIT DWELLING"
33093,"SINGLE UNIT DWELLING"
33093,"TWO UNIT DWELLING"
33093,"TWO UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
0,"MOBILE HOME"
450000,"SINGLE UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
250000,"STRIP MALL"
15000,"STRIP MALL"
260000,"SINGLE UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
225000,"SINGLE UNIT DWELLING"
210000,"SINGLE UNIT DWELLING"
36000,"MULTI-UNIT DWELLING"
7380,OFFICE
4500,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
2000,"ACCESSORY BUILDING"
225000,"SINGLE UNIT DWELLING"
270000,"TWO UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
70000,"SINGLE UNIT DWELLING"
110000,"SINGLE UNIT DWELLING"
8000,OFFICE
50000,"ACCESSORY BUILDING"
300000,"SINGLE UNIT DWELLING"
120000,"OTHER SERVICE"
212000,"OTHER RETAIL"
72000,OFFICE
1200000,LABORATORY/RESEARCH
50000,OFFICE
100,"TWO UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
52312,"MEDICAL OFFICE"
150000,OFFICE
450000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
22000,"SINGLE UNIT DWELLING"
35000,"ACCESSORY BUILDING"
40000,"SINGLE UNIT DWELLING"
116000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
4500,"MULTI COMMERCIAL"
700,"SINGLE UNIT DWELLING"
0,HOTEL/MOTEL
10000,"SINGLE UNIT DWELLING"
1000,"MOBILE HOME"
15000,"ACCESSORY BUILDING"
15000,"SINGLE UNIT DWELLING"
50000,"MULTI COMMERCIAL"
100000,"ACCESSORY BUILDING"
120000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
135000,"SINGLE UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
70000,"ACCESSORY BUILDING"
279382,"FIRE STATION"
170000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
5000,"TWO UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
52000,SUPERMARKET
280000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
0,"MOBILE HOME"
0,"REPAIR GARAGE"
5500,OFFICE
1000,BAR/RESTAURANT
18000,OFFICE
92000,"MOBILE HOME"
25000,"ACCESSORY BUILDING"
20000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
2000,OFFICE
35000,"SINGLE UNIT DWELLING"
300000,"TWO UNIT DWELLING"
9500,WAREHOUSE
40000,OFFICE
256000,"SINGLE UNIT DWELLING"
42000,WAREHOUSE
75000,"MULTI COMMERCIAL"
3000,BAR/RESTAURANT
200000,"TWO UNIT DWELLING"
0,HOTEL/MOTEL
0,"PERSONAL SERVICE"
0,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
150000,"MULTI COMMERCIAL"
0,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
33000,OFFICE
6000,"SINGLE UNIT DWELLING"
151000,"COMMUNITY CENTRE"
170000,"SINGLE UNIT DWELLING"
90000,"SINGLE UNIT DWELLING"
45000,"MULTI COMMERCIAL"
200000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
70000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
190000,"SINGLE UNIT DWELLING"
800000,"MULTI-UNIT DWELLING"
550000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
125017,"SINGLE UNIT DWELLING"
185000,"SINGLE UNIT DWELLING"
12000,"SINGLE UNIT DWELLING"
0,"MOBILE HOME"
15000,"SINGLE UNIT DWELLING"
60000,"SINGLE UNIT DWELLING"
63000,"ACCESSORY BUILDING"
150000,"SINGLE UNIT DWELLING"
95000,"MULTI COMMERCIAL"
191304,"SINGLE UNIT DWELLING"
11000,"ACCESSORY BUILDING"
12000,DAYCARE
150000,"SINGLE UNIT DWELLING"
10000909,"PARKING STRUCTURE"
150000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
20000,"ACCESSORY BUILDING"
295000,"SINGLE UNIT DWELLING"
450000,"SINGLE UNIT DWELLING"
125000,"SINGLE UNIT DWELLING"
24000,OBSERVATORY
150000,"MULTI-UNIT DWELLING"
600000,"SINGLE UNIT DWELLING"
4000,BAR/RESTAURANT
220000,"SINGLE UNIT DWELLING"
95000,"MOBILE HOME"
300000,"SINGLE UNIT DWELLING"
10000,"AUTO DEALERSHIP"
7100,HOTEL/MOTEL
